ETH/USDT >> GRT/ETH >>  GRT/USDT
ETH/USDT >> FIRO/ETH >>  FIRO/USDT
ETH/USDT >> LIT/ETH >>  LIT/USDT
ETH/USDT >> PUNDIX/ETH >>  PUNDIX/USDT
ETH/USDT >> BTG/ETH >>  BTG/USDT
ETH/USDT >> BURGER/ETH >>  BURGER/USDT
ETH/USDT >> SLP/ETH >>  SLP/USDT
ETH/USDT >> ICP/ETH >>  ICP/USDT
ETH/USDT >> XVG/ETH >>  XVG/USDT
ETH/USDT >> BOND/ETH >>  BOND/USDT
ETH/USDT >> DEXE/ETH >>  DEXE/USDT
ETH/USDT >> FARM/ETH >>  FARM/USDT
ETH/USDT >> REQ/ETH >>  REQ/USDT
ETH/USDT >> GHST/ETH >>  GHST/USDT
ETH/USDT >> ELF/ETH >>  ELF/USDT
ETH/USDT >> DYDX/ETH >>  DYDX/USDT
ETH/USDT >> ETH/USDP >>  USDP/USDT
ETH/USDT >> GALA/ETH >>  GALA/USDT
ETH/USDT >> SYS/ETH >>  SYS/USDT
ETH/USDT >> DF/ETH >>  DF/USDT
ETH/USDT >> FRONT/ETH >>  FRONT/USDT
ETH/USDT >> CVP/ETH >>  CVP/USDT
ETH/USDT >> BETA/ETH >>  BETA/USDT
ETH/USDT >> ADX/ETH >>  ADX/USDT
ETH/USDT >> DAR/ETH >>  DAR/USDT
ETH/USDT >> POWR/ETH >>  POWR/USDT
ETH/USDT >> VGX/ETH >>  VGX/USDT
ETH/USDT >> JASMY/ETH >>  JASMY/USDT
ETH/USDT >> VOXEL/ETH >>  VOXEL/USDT
ETH/USDT >> PEOPLE/ETH >>  PEOPLE/USDT
ETH/USDT >> OOKI/ETH >>  OOKI/USDT
ETH/USDT >> ETH/UST >>  UST/USDT
ETH/USDT >> SCRT/ETH >>  SCRT/USDT
ETH/USDT >> XNO/ETH >>  XNO/USDT
ETH/USDT >> ASTR/ETH >>  ASTR/USDT
ETH/USDT >> GMT/ETH >>  GMT/USDT
ETH/USDT >> APE/ETH >>  APE/USDT
ETH/USDT >> BSW/ETH >>  BSW/USDT
ETH/USDT >> STEEM/ETH >>  STEEM/USDT
ETH/USDT >> REI/ETH >>  REI/USDT
ETH/USDT >> GAL/ETH >>  GAL/USDT
ETH/USDT >> OP/ETH >>  OP/USDT
BNB/USDT >> BNB/BTC >>  BTC/USDT
BNB/USDT >> BNB/ETH >>  ETH/USDT
BNB/USDT >> BCC/BNB >>  BCC/USDT
